municipality_code,municipality_name,comarca_code,comarca_name,reference_period,subject_to_special_hut_license_regime,existing_hut_count,population,hut_per_100_residents,explicit_local_moratorium,explicit_local_prohibition,local_regulation_checked,regulation_reference,score_0_100,confidence_0_100,data_scope,source_id,source_updated_at,retrieved_at,method_version,missing_reason,notes,score_status,score_min_0_100,score_max_0_100,coverage_weight_pct,rank_stability_0_100,source_tier,method_variant,usable_for_composite
080155,Badalona,13,Barcelonès,2025S1,true,223,230642,0.096687,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080168,Bagà,14,Berguedà,2025S1,false,37,2167,1.70743,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080174,Balenyà,24,Osona,2025S1,false,3,4007,0.074869,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080180,Balsareny,07,Bages,2025S1,false,3,3354,0.089445,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080193,Barcelona,13,Barcelonès,2025S1,true,10650,1713247,0.621627,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080207,Begues,11,Baix Llobregat,2025S1,false,13,7545,0.1723,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080214,Bellprat,06,Anoia,2025S1,false,1,69,1.449275,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080229,Berga,14,Berguedà,2025S1,true,35,17539,0.199555,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080235,Bigues i Riells del Fai,41,Vallès Oriental,2025S1,false,2,10124,0.019755,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080240,Borredà,14,Berguedà,2025S1,false,17,434,3.917051,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080253,el Bruc,06,Anoia,2025S1,false,14,2294,0.610288,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080266,el Brull,24,Osona,2025S1,false,6,297,2.020202,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080272,les Cabanyes,03,Alt Penedès,2025S1,false,3,1064,0.281955,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080288,Cabrera d'Anoia,06,Anoia,2025S1,false,6,1777,0.337648,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080291,Cabrera de Mar,21,Maresme,2025S1,true,71,5053,1.405106,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080305,Cabrils,21,Maresme,2025S1,true,85,7755,1.096067,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080312,Calaf,06,Anoia,2025S1,false,2,3627,0.055142,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080327,Caldes d'Estrac,21,Maresme,2025S1,true,197,3348,5.88411,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080333,Caldes de Montbui,41,Vallès Oriental,2025S1,true,22,18554,0.118573,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080348,Calders,42,Moianès,2025S1,false,4,1121,0.356824,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080351,Calella,21,Maresme,2025S1,true,519,20775,2.498195,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080364,Calonge de Segarra,06,Anoia,2025S1,false,0,179,0,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080370,Calldetenes,24,Osona,2025S1,true,5,2724,0.183554,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080386,Callús,07,Bages,2025S1,false,2,2193,0.091199,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080399,Campins,41,Vallès Oriental,2025S1,false,8,588,1.360544,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080403,Canet de Mar,21,Maresme,2025S1,true,327,15191,2.15259,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080410,Canovelles,41,Vallès Oriental,2025S1,true,8,17445,0.045858,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080425,Cànoves i Samalús,41,Vallès Oriental,2025S1,false,9,3393,0.265252,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080431,Canyelles,17,Garraf,2025S1,false,106,5494,1.929378,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080446,Capellades,06,Anoia,2025S1,false,2,5598,0.035727,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080459,Capolat,14,Berguedà,2025S1,false,5,93,5.376344,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080462,Cardedeu,41,Vallès Oriental,2025S1,true,10,19050,0.052493,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080478,Cardona,07,Bages,2025S1,false,67,4540,1.475771,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080484,Carme,06,Anoia,2025S1,false,1,860,0.116279,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080497,Casserres,14,Berguedà,2025S1,false,7,1665,0.42042,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080500,Castellar del Riu,14,Berguedà,2025S1,true,11,151,7.284768,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080517,Castellar del Vallès,40,Vallès Occidental,2025S1,true,21,25395,0.082693,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080522,Castellar de n'Hug,14,Berguedà,2025S1,true,20,166,12.048193,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080538,Castellbell i el Vilar,07,Bages,2025S1,false,11,4163,0.264233,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080543,Castellbisbal,40,Vallès Occidental,2025S1,true,0,13058,0,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080556,Castellcir,42,Moianès,2025S1,false,6,802,0.74813,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080569,Castelldefels,11,Baix Llobregat,2025S1,true,374,69689,0.53667,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080575,Castell de l'Areny,14,Berguedà,2025S1,true,3,68,4.411765,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080581,Castellet i la Gornal,03,Alt Penedès,2025S1,false,28,2773,1.009737,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080594,Castellfollit del Boix,07,Bages,2025S1,false,4,469,0.852878,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080608,Castellfollit de Riubregós,06,Anoia,2025S1,false,0,153,0,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080615,Castellgalí,07,Bages,2025S1,false,0,2411,0,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080620,Castellnou de Bages,07,Bages,2025S1,false,9,1471,0.611829,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080636,Castellolí,06,Anoia,2025S1,false,1,670,0.149254,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080641,Castellterçol,42,Moianès,2025S1,false,10,2742,0.364697,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080654,Castellví de la Marca,03,Alt Penedès,2025S1,false,6,1718,0.349243,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080667,Castellví de Rosanes,11,Baix Llobregat,2025S1,false,4,2166,0.184672,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080673,Centelles,24,Osona,2025S1,false,8,7860,0.101781,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080689,Cervelló,11,Baix Llobregat,2025S1,true,15,9726,0.154226,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080692,Collbató,11,Baix Llobregat,2025S1,false,22,4820,0.456432,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080706,Collsuspina,42,Moianès,2025S1,false,7,390,1.794872,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080713,Copons,06,Anoia,2025S1,false,3,352,0.852273,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",100,60,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,100,100,100,,official,default,true
080728,Corbera de Llobregat,11,Baix Llobregat,2025S1,true,34,16044,0.211917,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080734,Cornellà de Llobregat,11,Baix Llobregat,2025S1,true,89,92255,0.096472,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
080749,Cubelles,17,Garraf,2025S1,true,747,17648,4.232774,,,false,"Decreto-ley 3/2023, annex; DOGC 9036, 08/11/2023; effective from 09/11/2023",40,70,municipality,decree_law_3_2023;t2h3-cgys,,2026-08-21T18:25:40Z,0.2.0,,A score of 100 only means the municipality is outside the regional special regime; local planning has not been reviewed.,complete,40,40,100,,official,default,true
